t,tf0,ts0
520392.6,872.2231,792.7025
522870.66,878.0557,843.3836
525348.75,878.117,866.78796
527826.75,877.84515,874.7392
530304.8,877.52185,877.50226
532782.9,877.28235,878.3567
535260.94,877.2609,877.6699
537739.0,877.4166,876.9861
540217.06,879.2513,878.43524
542695.1,878.93384,880.1785
545173.2,878.4249,879.80884
547651.25,878.02435,878.6871
550129.3,877.50256,878.2195
552607.4,876.9219,878.03864
555085.44,876.44556,877.5421
557563.5,876.17535,876.8797
560041.56,876.1067,876.4493
562519.6,876.5911,876.3902
564997.7,876.3083,876.37366
567475.75,872.5415,874.87775
569953.8,864.10297,869.71826
572431.9,849.9524,859.4732
574909.94,829.9187,843.90344
577388.0,804.5303,823.40125
579866.06,774.74445,797.7248
582344.1,741.86194,768.01355
584822.2,731.33856,744.2442
587300.25,734.2974,735.6619
589778.25,732.91785,733.669
592256.3,731.02185,732.2296
594734.4,729.11285,730.59863
597212.44,727.30756,729.75336
599690.5,725.84424,728.3611
602168.56,725.04535,726.1284
